新课程序号,课程名称,课程性质,校区,排课信息
PSE340801,激光原理与技术,专业必修课,四平路校区,焦宏飞(11068) 星期一9-11节 [1-16] 南105
PSE240302,电动力学,专业必修课,嘉定校区,朱成杰(14158) 星期三3-4节 [1-16] 诚楼C402 朱成杰(14158) 星期五5-6节 [1-16] 诚楼C402
PSE240301,电动力学,专业必修课,四平路校区,谢双媛(01019) 星期一1-2节 [1-16] 南201 谢双媛(01019) 星期四5-6节 [1-16] 南201
PSE000102,物理现象探索,科学探索与生命关怀,嘉定校区,"赵敏(99106) 星期五3-4节 [1-8] 安楼A106 丁涛(11136),赵敏(99106) 星期五3-4节 [9-16] 复楼南楼F314演示物理实验室"
PSE000101,物理现象探索,科学探索与生命关怀,四平路校区,"丁涛(11136),赵敏(99106) 星期四7-8节 [9-16] 瑞安楼演示物理实验室 赵敏(99106) 星期四7-8节 [1-8] 北122"
PSE350601,群论,专业选修课,四平路校区,张建卫(09135) 星期二9-11节 [1-16] 北313
PSE350801,声学基础,专业选修课,四平路校区,莫方朔(04039) 星期三9-11节 [12-15] 南214 毛东兴(91044) 星期三9-11节 [16] 南214 祝捷(21134) 星期三9-11节 [1-11] 南214
PSE125201,大学物理实验（下）,公共基础课,四平路校区,"倪晨(94773),赵敏(99106) 星期一1-2节 [1-16] 物理馆2-4楼"
PSE125214,大学物理实验（下）,公共基础课,四平路校区,"徐象繁(13517),唐慧丽(15052),金佳(18116),花蕾(24144),蒋涵文(25106) 星期四7-8节 [1-16] 物理馆2-4楼"
PSE125213,大学物理实验（下）,公共基础课,四平路校区,"徐象繁(13517),唐慧丽(15052),金佳(18116),花蕾(24144),蒋涵文(25106) 星期四5-6节 [1-16] 物理馆2-4楼"
PSE125212,大学物理实验（下）,公共基础课,四平路校区,"包志豪(09065),倪晨(94773) 星期四3-4节 [1-16] 物理馆2-4楼"
PSE125211,大学物理实验（下）,公共基础课,四平路校区,"包志豪(09065),倪晨(94773) 星期四1-2节 [1-16] 物理馆2-4楼"
PSE125210,大学物理实验（下）,公共基础课,四平路校区,"王新(13004),金佳(18116),王庆国(18131),梁军汀(91041),查建峰(91137) 星期三9-10节 [1-16] 物理馆2-4楼"
PSE125209,大学物理实验（下）,公共基础课,四平路校区,"王新(13004),金佳(18116),王庆国(18131),梁军汀(91041),查建峰(91137) 星期三7-8节 [1-16] 物理馆2-4楼"
PSE125208,大学物理实验（下）,公共基础课,四平路校区,"王新(13004),金佳(18116),王庆国(18131),梁军汀(91041),查建峰(91137) 星期三5-6节 [1-16] 物理馆2-4楼"
PSE125207,大学物理实验（下）,公共基础课,四平路校区,"王新(13004),王庆国(18131),倪晨(94773) 星期三3-4节 [1-16] 物理馆2-4楼"
